75,FF0A,2006,2D06,3B06,8206
0C,0AFD,062D,063B,0681,0675
0C,0AFE,062D,063A,0680,0675
0C,0AFF,062C,063A,0680,0674
0C,0B00,062C,0638,067F,0673
0C,0B01,062D,063A,0681,0675
0C,0B02,062E,063C,0682,0676
0C,0B03,062C,063A,0681,0675
0C,0B04,062B,0638,0680,0673
0C,0B05,062A,0638,0680,0672
0C,0B06,062C,0639,0681,0675
0C,0B07,062E,063B,0682,0676
0C,0B08,062D,063A,0681,0675
0C,0B09,062C,0638,0680,0674
0C,0B0A,062A,0638,067F,0672
0C,0B0B,062C,063A,0680,0674
0C,0B0C,062E,063A,0681,0675
0C,0B0D,062D,063A,0681,0675
0C,0B0E,062D,0639,0681,0675
0C,0B0F,062C,0639,0680,0674
0C,0B10,062C,063A,0681,0675
0C,0B11,062D,063B,0682,0676
0C,0B12,062D,063A,0680,0674
0C,0B13,062C,0639,0680,0673
0C,0B14,062B,0639,067F,0672
0C,0B15,062D,063A,0680,0675
0C,0B16,062D,063B,0681,0675
0C,0B17,062D,063B,0681,0674
0C,0B18,062C,0639,0680,0673
0C,0B19,062A,0638,0680,0673
0C,0B1A,062C,063A,0681,0674
0C,0B1B,062E,063C,0681,0675
0C,0B1C,062C,063A,0681,0675
0C,0B1D,062C,0638,0680,0673
0C,0B1E,062A,0637,067F,0673
0C,0B1F,062C,063A,0681,0675
0C,0B20,062F,063C,0683,0676
0C,0B21,062E,063B,0682,0676
0C,0B22,062D,063A,0682,0675
0C,0B23,062B,0639,0680,0673
0C,0B24,062D,063A,0681,0675
0C,0B25,062D,063B,0682,0676
0C,0B26,062D,063B,0681,0675
0C,0B27,062C,0639,0681,0674
0C,0B28,062B,0637,067F,0673
0C,0B29,062D,063A,0681,0674
0C,0B2A,062E,063B,0681,0676
0C,0B2B,062E,063B,0681,0675
0C,0B2C,062D,0639,0681,0673
0C,0B2D,062B,0638,067F,0673
0C,0B2E,062D,063A,0681,0674
0C,0B2F,062D,063B,0682,0676
0C,0B30,062D,063A,0681,0675
0C,0B31,062D,0639,0681,0674
0C,0B32,062B,0639,0680,0673
0C,0B33,062D,063A,0681,0675
0C,0B34,062E,063C,0682,0676
0C,0B35,062E,063B,0681,0675
0C,0B36,062C,0639,0681,0674
0C,0B37,062B,0638,0680,0673
0C,0B38,062C,063A,0681,0675
0C,0B39,062D,063B,0682,0675
0C,0B3A,062D,063B,0681,0675
0C,0B3B,062C,0639,0681,0674
0C,0B3C,062B,0638,067F,0673
0C,0B3D,062C,063A,0680,0674
0C,0B3E,062E,063C,0682,0675
0C,0B3F,062D,063A,0680,0675
0C,0B40,062C,0639,0680,0674
0C,0B41,062B,0638,0680,0673
0C,0B42,062D,063A,0681,0675
0C,0B43,062D,063B,0682,0676
0C,0B44,062D,063B,0681,0675
0C,0B45,062C,0639,0681,0674
0C,0B46,062B,0638,067F,0673
0C,0B47,062D,063A,0680,0674
0C,0B48,062E,063C,0682,0676
0C,0B49,062D,063B,0681,0675
0C,0B4A,062C,0639,0680,0674
0C,0B4B,062B,0638,067F,0673
0C,0B4C,062C,0639,0680,0674
0C,0B4D,062E,063C,0682,0676
0C,0B4E,062E,063A,0681,0675
0C,0B4F,062D,063A,0681,0674
0C,0B50,062C,0638,067F,0673
0C,0B51,062C,0639,0681,0675
0C,0B52,062E,063C,0682,0676
0C,0B53,062D,063B,0681,0675
0C,0B54,062D,0639,0680,0674
0C,0B55,062B,0638,0680,0673
0C,0B56,062C,0639,0680,0675
0C,0B57,062E,063B,0681,0676
0C,0B58,062D,063A,0681,0676
0C,0B59,062C,0639,0680,0674
0C,0B5A,062B,0638,067F,0673
0C,0B5B,062C,063A,0681,0674
0C,0B5C,062E,063B,0682,0676
0C,0B5D,062E,063B,0681,0675
0C,0B5E,062C,0639,0680,0674
0C,0B5F,062C,0638,067F,0672
0C,0B60,062C,063A,0681,0675
0C,0B61,062E,063C,0682,0676
0C,0B62,062D,063B,0682,0676
0C,0B63,062C,0639,0682,0675
0C,0B64,062B,0638,0680,0673
0C,0B65,062D,063A,0680,0675
0C,0B66,062E,063B,0681,0676
0C,0B67,062D,063B,0681,0675
0C,0B68,062C,0639,0681,0674
0C,0B69,062B,0638,067F,0673
0C,0B6A,062C,063A,0680,0674
0C,0B6B,062E,063C,0682,0676
0C,0B6C,062E,063B,0681,0676
0C,0B6D,062C,0639,0681,0674
0C,0B6E,062B,0638,0680,0673
0C,0B6F,062D,063A,0681,0675
0C,0B70,062E,063C,0682,0676
0C,0B71,062E,063B,0681,0674
0C,0B72,062C,063A,0681,0674
0C,0B73,062A,0638,0680,0673
0C,0B74,062C,0639,0680,0674
0C,0B75,062E,063B,0682,0675
0C,0B76,062D,063B,0682,0676
0C,0B77,062C,0639,0681,0674
0C,0B78,062B,0637,067F,0672
0C,0B79,062C,063A,0681,0675
0C,0B7A,062E,063C,0682,0676
0C,0B7B,062E,063B,0681,0676
0C,0B7C,062D,0639,0681,0675
0C,0B7D,062C,0639,0680,0673
0C,0B7E,062C,0639,0681,0675
0C,0B7F,062E,063B,0682,0676
0C,0B80,062E,063B,0681,0676
0C,0B81,062D,0639,0680,0674
0C,0B82,062B,0638,0680,0673
0C,0B83,062C,0639,0680,0675
0C,0B84,062E,063C,0682,0676
0C,0B85,062D,063B,0682,0676
0C,0B86,062D,0639,0681,0675
0C,0B87,062B,0638,0680,0673
0C,0B88,062C,0639,0680,0674
0C,0B89,062E,063C,0682,0676
0C,0B8A,062D,063B,0681,0676
0C,0B8B,062C,0639,0681,0675
0C,0B8C,062B,0638,0680,0673
0C,0B8D,062C,0639,0680,0674
0C,0B8E,062E,063C,0682,0676
0C,0B8F,062E,063C,0681,0675
0C,0B90,062D,063A,0681,0674
0C,0B91,062B,0638,0680,0673
0C,0B92,062D,0639,0680,0674
0C,0B93,062E,063B,0682,0676
0C,0B94,062D,063B,0682,0676
0C,0B95,062C,0639,0682,0674
0C,0B96,062B,0637,0680,0674
0C,0B97,062C,063A,0681,0674
0C,0B98,062E,063C,0681,0675
0C,0B99,062E,063B,0681,0676
0C,0B9A,062D,063A,0681,0675
0C,0B9B,062C,0639,0680,0673
0C,0B9C,062C,0639,0681,0674
0C,0B9D,062E,063B,0682,0676
0C,0B9E,062E,063B,0681,0675
0C,0B9F,062D,063A,0681,0674
0C,0BA0,062B,0638,0680,0673
0C,0BA1,062C,0639,0680,0674
0C,0BA2,062E,063B,0681,0676
0C,0BA3,062D,063B,0681,0675
0C,0BA4,062D,063A,0680,0674
0C,0BA5,062B,0638,067F,0673
0C,0BA6,062D,063A,0680,0674
0C,0BA7,062E,063C,0681,0676
0C,0BA8,062D,063B,0681,0676
0C,0BA9,062D,063A,0681,0674
0C,0BAA,062C,0638,067F,0673
0C,0BAB,062C,0639,0681,0674
0C,0BAC,062D,063B,0682,0675
0C,0BAD,062D,063B,0681,0675
0C,0BAE,062D,0639,0681,0675
0C,0BAF,062B,0638,0680,0673
0C,0BB0,062D,0639,0680,0675
0C,0BB1,062E,063C,0682,0676
0C,0BB2,062D,063B,0682,0675
0C,0BB3,062C,0639,0681,0674
0C,0BB4,062B,0637,0680,0673
0C,0BB5,062C,063A,0680,0674
0C,0BB6,062E,063C,0681,0676
0C,0BB7,062E,063C,0681,0676
0C,0BB8,062E,063A,0681,0675
0C,0BB9,062C,0638,0680,0674
0C,0BBA,062C,0639,0681,0674
0C,0BBB,062E,063C,0682,0675
0C,0BBC,062E,063B,0681,0675
0C,0BBD,062C,0639,0681,0674
0C,0BBE,062B,0638,0680,0673
0C,0BBF,062C,0639,0680,0675
0C,0BC0,062E,063B,0681,0676
0C,0BC1,062D,063B,0682,0675
0C,0BC2,062C,0639,0681,0674
0C,0BC3,062B,0638,0680,0673
0C,0BC4,062C,0639,0680,0674
0C,0BC5,062E,063B,0681,0676
0C,0BC6,062E,063B,0681,0676
0C,0BC7,062D,063A,0681,0675
0C,0BC8,062C,0638,0680,0674
0C,0BC9,062C,0639,0681,0674
0C,0BCA,062E,063B,0682,0676
0C,0BCB,062F,063C,0681,0676
0C,0BCC,062D,063A,0681,0675
0C,0BCD,062C,0639,0680,0673
0C,0BCE,062C,0639,0680,0673
0C,0BCF,062D,063B,0682,0676
0C,0BD0,062E,063C,0682,0675
0C,0BD1,062D,063A,0680,0675
0C,0BD2,062C,0639,0680,0673
0C,0BD3,062D,063A,0680,0673
0C,0BD4,062E,063B,0681,0676
0C,0BD5,062D,063B,0682,0676
0C,0BD6,062D,0639,0681,0675
0C,0BD7,062B,0638,0680,0674
0C,0BD8,062C,0639,0681,0674
0C,0BD9,062E,063C,0682,0676
0C,0BDA,062E,063B,0682,0676
0C,0BDB,062D,063A,0681,0675
0C,0BDC,062C,0639,0680,0673
0C,0BDD,062B,0639,0681,0674
0C,0BDE,062E,063C,0682,0675
0C,0BDF,062E,063C,0682,0675
0C,0BE0,062D,063A,0681,0675
0C,0BE1,062C,0639,0680,0673
0C,0BE2,062D,0639,0680,0673
0C,0BE3,062E,063C,0681,0675
0C,0BE4,062E,063D,0682,0675
0C,0BE5,062D,063A,0682,0674
0C,0BE6,062C,0639,0680,0673
0C,0BE7,062C,0639,0680,0673
0C,0BE8,062E,063B,0681,0676
0C,0BE9,062E,063B,0681,0675
0C,0BEA,062C,063A,0681,0675
0C,0BEB,062B,0638,0680,0673
0C,0BEC,062C,0639,0680,0674
0C,0BED,062E,063B,0682,0676
0C,0BEE,062E,063B,0681,0675
0C,0BEF,062D,063A,0681,0675
0C,0BF0,062C,0639,0680,0673
0C,0BF1,062C,0639,0680,0674
0C,0BF2,062E,063C,0682,0675
0C,0BF3,062E,063C,0682,0676
0C,0BF4,062D,063A,0681,0674
0C,0BF5,062C,0639,0680,0673
0C,0BF6,062C,063A,0680,0673
0C,0BF7,062E,063C,0682,0675
0C,0BF8,062E,063B,0681,0676
0C,0BF9,062D,063A,0681,0675
0C,0BFA,062C,0638,0680,0673
0C,0BFB,062B,0639,0680,0674
0C,0BFC,062E,063B,0682,0676
0C,0BFD,062E,063B,0681,0675
0C,0BFE,062D,063A,0681,0674
0C,0BFF,062B,0638,0680,0673
0C,0C00,062C,0639,0680,0674
0C,0C01,062E,063B,0682,0676
0C,0C02,062D,063B,0682,0676
0C,0C03,062D,063A,0681,0675
0C,0C04,062B,0639,0680,0674
0C,0C05,062C,0639,0681,0673
0C,0C06,062E,063B,0681,0675
0C,0C07,062E,063B,0681,0675
0C,0C08,062D,063A,0681,0674
0C,0C09,062C,0638,0680,0673
0C,0C0A,062C,0639,0680,0674
0C,0C0B,062E,063B,0681,0675
0C,0C0C,062E,063C,0681,0676
0C,0C0D,062D,063A,0681,0675
0C,0C0E,062B,0639,0680,0673
0C,0C0F,062B,0638,067F,0673
0C,0C10,062E,063C,0681,0675
0C,0C11,062E,063C,0681,0675
0C,0C12,062C,0639,0681,0675
0C,0C13,062B,0639,0681,0673
0C,0C14,062B,0639,0680,0673
0C,0C15,062E,063B,0681,0676
0C,0C16,062E,063B,0682,0676
0C,0C17,062D,063B,0681,0675
0C,0C18,062B,0638,0680,0674
0C,0C19,062B,0639,0680,0673
0C,0C1A,062E,063B,0682,0676
0C,0C1B,062E,063B,0681,0676
0C,0C1C,062C,063A,0681,0674
0C,0C1D,062C,0639,0680,0673
0C,0C1E,062B,0638,0680,0674
0C,0C1F,062E,063B,0681,0676
0C,0C20,062E,063C,0682,0676
0C,0C21,062D,063A,0681,0675
0C,0C22,062B,0639,0680,0674
0C,0C23,062C,0639,0680,0673
0C,0C24,062E,063B,0682,0676
0C,0C25,062E,063B,0682,0676
0C,0C26,062D,063B,0681,0675
0C,0C27,062C,0639,0680,0673
0C,0C28,062B,0639,0680,0673
0C,0C29,062E,063B,0681,0675
0C,0C2A,062E,063B,0681,0676
0C,0C2B,062D,063A,0681,0674
0C,0C2C,062B,0639,0680,0673
0C,0C2D,062B,0638,067F,0673
0C,0C2E,062D,063C,0682,0676
0C,0C2F,062E,063C,0682,0676
0C,0C30,062C,063A,0682,0675
0C,0C31,062C,0639,0681,0674
0C,0C32,062C,0639,0680,0673
0C,0C33,062E,063B,0682,0676
0C,0C34,062E,063C,0682,0676
0C,0C35,062D,063A,0682,0675
0C,0C36,062C,0638,0680,0674
0C,0C37,062B,0639,0680,0673
0C,0C38,062E,063C,0681,0675
0C,0C39,062E,063B,0681,0676
0C,0C3A,062C,063A,0681,0674
0C,0C3B,062C,0638,0680,0673
0C,0C3C,062B,0638,067F,0674
0C,0C3D,062E,063B,0682,0676
0C,0C3E,062F,063C,0681,0676
0C,0C3F,062D,063A,0681,0675
0C,0C40,062C,0639,0681,0673
0C,0C41,062B,0639,0680,0673
0C,0C42,062E,063C,0682,0676
0C,0C43,062E,063C,0682,0676
0C,0C44,062D,063A,0681,0675
0C,0C45,062C,0639,0680,0674
0C,0C46,062C,0639,0680,0673
0C,0C47,062E,063B,0681,0676
0C,0C48,062E,063B,0682,0676
0C,0C49,062D,063A,0681,0675
0C,0C4A,062C,0639,0680,0673
0C,0C4B,062B,0638,0680,0674
0C,0C4C,062E,063B,0681,0675
0C,0C4D,062E,063B,0682,0676
0C,0C4E,062D,063A,0681,0675
0C,0C4F,062C,0639,0680,0673
0C,0C50,062C,0639,067F,0673
0C,0C51,062E,063B,0682,0676
0C,0C52,062E,063D,0682,0676
0C,0C53,062D,063A,0682,0676
0C,0C54,062C,0639,0680,0674
0C,0C55,062B,0639,0680,0673
0C,0C56,062D,063B,0682,0675
0C,0C57,062D,063C,0682,0676
0C,0C58,062D,063A,0681,0675
0C,0C59,062C,0639,0680,0674
0C,0C5A,062B,0638,067F,0674
0C,0C5B,062D,063B,0682,0675
0C,0C5C,062E,063C,0682,0676
0C,0C5D,062D,063A,0682,0675
0C,0C5E,062C,0639,0680,0673
0C,0C5F,062C,0638,0680,0673
0C,0C60,062E,063C,0681,0675
0C,0C61,062E,063D,0682,0675
0C,0C62,062D,063A,0681,0675
0C,0C63,062C,0638,0680,0674
0C,0C64,062B,0638,0680,0673
0C,0C65,062D,063B,0682,0675
0C,0C66,062E,063C,0682,0676
0C,0C67,062E,0639,0681,0675
0C,0C68,062C,0638,0680,0674
0C,0C69,062B,0638,0680,0673
0C,0C6A,062D,063B,0682,0676
0C,0C6B,062E,063B,0682,0676
0C,0C6C,062D,063B,0681,0675
0C,0C6D,062C,0638,0680,0673
0C,0C6E,062B,0638,0680,0673
0C,0C6F,062E,063B,0681,0675
0C,0C70,062F,063C,0681,0676
0C,0C71,062D,063B,0681,0675
0C,0C72,062B,0639,0680,0673
0C,0C73,062B,0638,067F,0673
0C,0C74,062E,063B,0681,0675
0C,0C75,062E,063C,0682,0676
0C,0C76,062E,063B,0681,0675
0C,0C77,062C,0639,0680,0674
0C,0C78,062B,0638,0680,0673
0C,0C79,062E,063B,0681,0676
0C,0C7A,062E,063B,0682,0676
0C,0C7B,062D,063A,0681,0675
0C,0C7C,062C,0639,0680,0674
0C,0C7D,062B,0638,0680,0673
0C,0C7E,062D,063B,0682,0676
0C,0C7F,062F,063C,0682,0676
0C,0C80,062D,063A,0681,0675
0C,0C81,062C,0639,0680,0674
0C,0C82,062C,0638,067F,0673
0C,0C83,062E,063B,0682,0675
0C,0C84,062E,063C,0682,0676
0C,0C85,062D,063A,0681,0675
0C,0C86,062C,0639,0680,0674
0C,0C87,062C,0639,0680,0673
0C,0C88,062D,063B,0681,0675
0C,0C89,062E,063C,0681,0676
0C,0C8A,062D,063B,0681,0674
0C,0C8B,062C,0639,0681,0674
0C,0C8C,062B,0638,0680,0673
0C,0C8D,062D,063B,0681,0675
0C,0C8E,062E,063B,0682,0676
0C,0C8F,062D,063A,0681,0675
0C,0C90,062B,0639,0681,0674
0C,0C91,062B,0638,067F,0673
0C,0C92,062D,063B,0681,0675
0C,0C93,062E,063C,0682,0676
0C,0C94,062D,063B,0681,0675
0C,0C95,062C,0639,0681,0674
0C,0C96,062B,0638,0680,0673
0C,0C97,062D,063A,0681,0675
0C,0C98,062D,063C,0682,0676
0C,0C99,062D,063B,0681,0675
0C,0C9A,062D,0639,0680,0674
0C,0C9B,062C,0638,0680,0673
0C,0C9C,062E,063A,0681,0675
0C,0C9D,062F,063C,0681,0676
0C,0C9E,062E,063B,0681,0675
0C,0C9F,062C,0639,0681,0673
0C,0CA0,062B,0638,067F,0673
0C,0CA1,062D,063B,0682,0676
0C,0CA2,062F,063C,0682,0676
0C,0CA3,062D,063A,0681,0675
0C,0CA4,062C,063A,0680,0674
0C,0CA5,062B,0639,0680,0673
0C,0CA6,062E,063B,0682,0675
0C,0CA7,062E,063C,0683,0676
0C,0CA8,062E,063B,0681,0675
0C,0CA9,062C,0639,0681,0674
0C,0CAA,062B,0638,0680,0673
0C,0CAB,062D,063A,0681,0675
0C,0CAC,062E,063B,0682,0676
0C,0CAD,062C,063B,0681,0675
0C,0CAE,062C,0639,0680,0674
0C,0CAF,062B,0638,0680,0674
0C,0CB0,062D,063B,0681,0675
0C,0CB1,062E,063B,0682,0676
0C,0CB2,062D,063A,0681,0676
0C,0CB3,062D,0639,0680,0674
0C,0CB4,062C,0638,067F,0673
0C,0CB5,062D,063A,0681,0674
0C,0CB6,062E,063D,0682,0675
0C,0CB7,062E,063A,0681,0675
0C,0CB8,062C,0639,0681,0674
0C,0CB9,062B,0639,0680,0672
0C,0CBA,062D,063B,0681,0675
0C,0CBB,062E,063C,0681,0675
0C,0CBC,062E,063B,0681,0675
0C,0CBD,062C,0639,0681,0674
0C,0CBE,062B,0638,0680,0674
0C,0CBF,062E,063B,0681,0675
0C,0CC0,062E,063C,0682,0677
0C,0CC1,062E,063B,0681,0675
0C,0CC2,062D,0639,0681,0675
0C,0CC3,062C,0638,067F,0673
0C,0CC4,062D,063B,0681,0674
0C,0CC5,062D,063C,0682,0676
0C,0CC6,062E,063B,0681,0675
0C,0CC7,062D,0639,0681,0675
0C,0CC8,062B,0639,0680,0673
0C,0CC9,062D,063A,0681,0675
0C,0CCA,062E,063C,0682,0676
0C,0CCB,062D,063B,0681,0675
0C,0CCC,062C,0639,0681,0674
0C,0CCD,062C,0638,0680,0673
0C,0CCE,062E,063B,0681,0675
0C,0CCF,062E,063C,0682,0676
0C,0CD0,062E,063B,0682,0675
0C,0CD1,062C,063A,0681,0674
0C,0CD2,062B,0638,0680,0673
0C,0CD3,062D,063A,0682,0675
0C,0CD4,062E,063C,0682,0676
0C,0CD5,062D,063B,0681,0675
0C,0CD6,062D,0639,0681,0674
0C,0CD7,062C,0639,0680,0674
0C,0CD8,062D,063A,0681,0676
0C,0CD9,062E,063C,0682,0677
0C,0CDA,062D,063A,0681,0675
0C,0CDB,062C,0639,0681,0674
0C,0CDC,062B,0638,0680,0673
0C,0CDD,062D,063A,0681,0675
0C,0CDE,062E,063B,0681,0676
0C,0CDF,062D,063B,0681,0675
0C,0CE0,062C,0639,0680,0674
0C,0CE1,062B,0638,0680,0673
0C,0CE2,062D,063B,0681,0674
0C,0CE3,062F,063C,0681,0675
0C,0CE4,062D,063A,0681,0676
0C,0CE5,062C,0639,0681,0674
0C,0CE6,062B,0638,0680,0673
0C,0CE7,062C,063A,0681,0675
